,x,y,goal x,goal y,waypoint,current distance,angular velocity,heading,yaw,goal angle
23,967570.1993399662,1935246.7824055061,967572.4631,1935248.799,1,3.03,0.09933814928023743,0.376,0.3515710757978031,0.7277180410702033
24,967570.2623809858,1935246.805164571,967572.4631,1935248.799,1,2.97,0.10145172692449766,0.384,0.3516451004151814,0.7361161541748023
25,967570.3308151057,1935246.837971645,967572.4631,1935248.799,1,2.9,0.09748876884150948,0.369,0.37495095774749126,0.7435844273225422
26,967570.4049730292,1935246.8677271728,967572.4631,1935248.799,1,2.82,0.09933814928023743,0.376,0.3772801611971188,0.7536110721504369
27,967570.4685613165,1935246.8925239935,967572.4631,1935248.799,1,2.76,0.10198012133556289,0.386,0.3769020160204557,0.7628276965752212
28,967570.5374582354,1935246.9269250587,967572.4631,1935248.799,1,2.69,0.09880975486917232,0.374,0.3975148632763868,0.7712940910239038
29,967570.6078664808,1935246.958390545,967572.4631,1935248.799,1,2.61,0.09986654369130243,0.378,0.40372750439965915,0.7814412886098269
30,967570.6755140241,1935246.9869439462,967572.4631,1935248.799,1,2.55,0.102508515746628,0.388,0.40374666343444066,0.7921959785181731
31,967570.7444413401,1935247.023267739,967572.4631,1935248.799,1,2.47,0.09933814928023743,0.376,0.4253790280251823,0.8017296295122577
32,967570.815531501,1935247.0559798148,967572.4631,1935248.799,1,2.4,0.10224431854109539,0.387,0.42665304465200243,0.8135426807267259
33,967570.8804901317,1935247.0924387183,967572.4631,1935248.799,1,2.33,0.10013074089683505,0.379,0.4443279107954325,0.8230650350068845
34,967570.9474333932,1935247.1345586565,967572.4631,1935248.799,1,2.25,0.09484679678618413,0.359,0.4732717001973826,0.8321469980984795
35,967571.0135805729,1935247.1691905258,967572.4631,1935248.799,1,2.18,0.09696037443044447,0.367,0.4767833373627066,0.8438798873998662
36,967571.0804969148,1935247.203422736,967572.4631,1935248.799,1,2.11,0.10039493810236744,0.38,0.4772371287972554,0.856788146967442
37,967571.1442954477,1935247.2437534109,967572.4631,1935248.799,1,2.04,0.09775296604704209,0.37,0.49731308725019896,0.8674811771221845
