,x,y,goal x,goal y,waypoint,current distance,obstacle distance,obstacle angle,heading,yaw,goal angle
0,967568.4051055517,1935246.0613758862,967570.7154,1935247.481,0,2.71,3.35,9,-0.491,1.041869843720027,0.5509968147609978
1,967568.3935143069,1935246.068834465,967570.7154,1935247.481,0,2.72,3.35,9,-0.449,0.995207035618542,0.5464254261151236
2,967568.3859858015,1935246.0740846274,967570.7154,1935247.481,0,2.72,3.35,9,-0.422,0.964857072922523,0.5433395071479546
3,967568.3748139483,1935246.080115831,967570.7154,1935247.481,0,2.73,3.35,9,-0.381,0.920476594203091,0.539329486539762
4,967568.3667399808,1935246.0812992342,967570.7154,1935247.481,0,2.73,3.35,9,-0.358,0.8956154648462108,0.5374415244606312
5,967568.3627422475,1935246.081342348,967570.7154,1935247.481,0,2.74,3.35,9,-0.338,0.874465715156236,0.5366803860893076
6,967568.3444991144,1935246.081158553,967570.7154,1935247.481,0,2.75,3.35,9,-0.309,0.8427655621856248,0.5333500267402227
7,967568.3344952385,1935246.0809076705,967570.7154,1935247.481,0,2.76,3.35,9,-0.288,0.8199486690238326,0.5315867962785574
8,967568.3245528534,1935246.0806272575,967570.7154,1935247.481,0,2.77,3.35,9,-0.279,0.8085024380976258,0.5298551153320077
9,967568.3146980945,1935246.080592333,967570.7154,1935247.481,0,2.78,3.05,8,-0.246,0.7742632443549959,0.5280738958231174
10,967568.3002260483,1935246.081185639,967570.7154,1935247.481,0,2.79,3.05,8,-0.214,0.7394844684547162,0.5252780883586852
11,967568.2907842571,1935246.0820421346,967570.7154,1935247.481,0,2.8,3.05,8,-0.193,0.7162079120694611,0.5233219803556103
12,967568.281243667,1935246.0833547316,967570.7154,1935247.481,0,2.81,3.05,8,-0.171,0.6921995006187938,0.5212182376254462
13,967568.2715113056,1935246.0852134903,967570.7154,1935247.481,0,2.81,3.05,8,-0.148,0.6670656725047223,0.5189235876468575
14,967568.2565047904,1935246.0887121577,967570.7154,1935247.481,0,2.83,3.05,8,-0.126,0.6409682149685639,0.5152145994506268
15,967568.246117753,1935246.0914453298,967570.7154,1935247.481,0,2.83,3.05,8,-0.074,0.5869497527889292,0.5125689198204645
16,967568.2408152821,1935246.092947482,967570.7154,1935247.481,0,2.84,3.05,8,-0.048,0.5591687922696758,0.5111910125739448
17,967568.2245088929,1935246.0976001495,967570.7154,1935247.481,0,2.85,3.05,8,-0.024,0.5312092882534027,0.5069670273521835
18,967568.2132594802,1935246.1008382859,967570.7154,1935247.481,0,2.86,3.05,8,-0.013,0.5171131104137856,0.5040649667778238
19,967568.2016716078,1935246.1042541056,967570.7154,1935247.481,0,2.87,2.88,6,0.012,0.4892282750610781,0.501068578033755
20,967568.1773642977,1935246.1112507845,967570.7154,1935247.481,0,2.88,2.88,6,0.062,0.43322254677715594,0.4948922213555838
21,967568.1648537734,1935246.1151248384,967570.7154,1935247.481,0,2.89,2.88,6,0.087,0.40478742490514985,0.4916602274904272
22,967568.1458353288,1935246.1214734772,967570.7154,1935247.481,0,2.91,2.88,6,0.125,0.36162931397438536,0.486646521257063
23,967568.1329168325,1935246.126058058,967570.7154,1935247.481,0,2.92,2.88,6,0.15,0.33307327531018505,0.48318538462293126
24,967568.1197216139,1935246.130775539,967570.7154,1935247.481,0,2.93,2.88,6,0.175,0.30434525505780824,0.4796623270141015
25,967568.1065486391,1935246.1360120699,967570.7154,1935247.481,0,2.94,2.88,6,0.215,0.26079670700258056,0.47600844875229925
26,967568.0864297536,1935246.1444027305,967570.7154,1935247.481,0,2.95,2.88,6,0.239,0.23180075025384925,0.47035370896312767
27,967568.0728480795,1935246.1503955491,967570.7154,1935247.481,0,2.96,2.88,6,0.264,0.202540603567102,0.46646770486644856
28,967568.052401803,1935246.1601845354,967570.7154,1935247.481,0,2.97,2.76,6,0.302,0.15843864953133102,0.4604329558849315
29,967568.0386818339,1935246.1671972994,967570.7154,1935247.481,0,2.98,2.76,6,0.327,0.1288200503570741,0.4562814598968385
30,967568.0182098076,1935246.1786029981,967570.7154,1935247.481,0,3.0,2.76,6,0.366,0.08412954238977574,0.44985137219060906
31,967568.0044135257,1935246.186575668,967570.7154,1935247.481,0,3.0,2.76,6,0.361,0.08412954238977574,0.4454645944388391
32,967567.9907605322,1935246.1951303424,967570.7154,1935247.481,0,3.01,2.76,6,0.402,0.03936074103981217,0.44094968454212213
33,967567.9703157452,1935246.2086570498,967570.7154,1935247.481,0,3.03,2.76,6,0.425,0.009167414380658653,0.43402256123240235
34,967567.9568892922,1935246.2183137597,967570.7154,1935247.481,0,3.03,2.76,6,0.45,-0.020858128209760813,0.4292735020202031
35,967567.9501287311,1935246.2232405224,967570.7154,1935247.481,0,3.04,2.76,6,0.493,-0.066540925217607,0.42687262242548674
36,967567.9302917328,1935246.23883646,967570.7154,1935247.481,0,3.05,2.76,6,0.532,-0.11212199411614743,0.4195241215129214
37,967567.9172109213,1935246.249780165,967570.7154,1935247.481,0,3.06,2.63,5,0.557,-0.14277284822221298,0.4145118568083611
38,967567.897958009,1935246.2670177892,967570.7154,1935247.481,0,3.07,2.63,5,0.58,-0.17359572733380296,0.40684133967698405
39,967567.8854392846,1935246.2790688765,967570.7154,1935247.481,0,3.07,2.63,5,0.621,-0.21974299524331478,0.401630529778251
40,967567.8671963,1935246.2980312463,967570.7154,1935247.481,0,3.08,2.63,5,0.644,-0.2506937315702768,0.39365892427797494
41,967567.8558872913,1935246.3107576107,967570.7154,1935247.481,0,3.09,2.63,5,0.686,-0.2977219552945358,0.3884510437495405
42,967567.8454955905,1935246.3233612727,967570.7154,1935247.481,0,3.09,2.63,5,0.71,-0.32705085049253424,0.38340978324820374
43,967567.8358018388,1935246.3362048957,967570.7154,1935247.481,0,3.1,2.63,5,0.735,-0.3568824641211249,0.37839578065930485
44,967567.8224578638,1935246.3560081006,967570.7154,1935247.481,0,3.1,2.63,5,0.773,-0.402580186053902,0.37087893200548466
45,967567.8143384187,1935246.369624338,967570.7154,1935247.481,0,3.11,2.63,5,0.831,-0.46489017424576223,0.3658467395582341
46,967567.8030785752,1935246.3907574844,967570.7154,1935247.481,0,3.11,2.48,4,0.839,-0.4806614452366225,0.35820520000909095
47,967567.7927519653,1935246.4126835463,967570.7154,1935247.481,0,3.11,2.48,4,0.863,-0.5123674669169831,0.3504427441623089
48,967567.7858003158,1935246.4276914205,967570.7154,1935247.481,0,3.11,2.48,4,0.889,-0.5441096158597148,0.3451483904760499
49,967567.7751763334,1935246.4510467993,967570.7154,1935247.481,0,3.12,2.48,4,0.912,-0.5748606586228706,0.33693988902002736
50,967567.771783398,1935246.4590936427,967570.7154,1935247.481,0,3.12,2.48,4,0.969,-0.635100246477154,0.33414264220705414
51,967567.762831796,1935246.4828112917,967570.7154,1935247.481,0,3.12,2.48,4,0.992,-0.66586935648998,0.3260117273869027
52,967567.7591057731,1935246.4945295043,967570.7154,1935247.481,0,3.12,2.48,4,1.014,-0.6920444964167574,0.32206685556463777
53,967567.7559674504,1935246.5038313777,967570.7154,1935247.481,0,3.12,2.48,4,1.029,-0.7104304239688443,0.3189169382644217
54,967567.7555652034,1935246.5060981046,967570.7154,1935247.481,0,3.12,2.38,3,1.039,-0.7208008741094099,0.3181857569878768
55,967567.756609874,1935246.5056418153,967570.7154,1935247.481,0,3.12,2.38,3,1.047,-0.7287359098871135,0.31842977149262924
56,967567.7591732924,1935246.5036993762,967570.7154,1935247.481,0,3.11,2.38,3,1.049,-0.7295376059218976,0.31928002477685663
57,967567.7600695707,1935246.502981368,967570.7154,1935247.481,0,3.11,2.38,3,1.05,-0.7308520636728232,0.3195893923779275
58,967567.7629448356,1935246.500616733,967570.7154,1935247.481,0,3.11,2.38,3,1.052,-0.7313719674371032,0.32060137292078367
59,967567.7636866508,1935246.5000183096,967570.7154,1935247.481,0,3.11,2.38,3,1.052,-0.7314657241198484,0.3208591181085298
60,967567.7638721041,1935246.4998687112,967570.7154,1935247.481,0,3.11,2.38,3,1.053,-0.7316116267233651,0.32092356541099754
61,967567.763810124,1935246.4999287454,967570.7154,1935247.481,0,3.11,2.38,3,1.053,-0.7316649249331865,0.32089896370578286
62,967567.7633140408,1935246.500424286,967570.7154,1935247.481,0,3.11,2.38,3,1.052,-0.7316850420175041,0.3206974906099008
63,967567.7628806672,1935246.5008140372,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.731691031706879,0.3205346822752609
64,967567.7622933175,1935246.5012928715,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316941234352188,0.3203291447652715
65,967567.7621071325,1935246.501488232,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316957834716835,0.32025071016639267
66,967567.761983904,1935246.5015625472,967570.7154,1935247.481,0,3.11,2.33,2,1.052,-0.7316979062730946,0.3202155738857573
