,X,Y
0,967531.2944006064,1935304.153379882
1,967530.7257985316,1935304.1293949245
2,967530.208879712,1935304.1075604788
3,967529.3977199644,1935304.0732968077
4,967528.7962187068,1935304.0478648315
5,967528.0329908225,1935304.0156537683
6,967527.390448468,1935303.9884772676
7,967526.6274660788,1935303.956178581
8,967525.9849545934,1935303.928979691
9,967525.181876127,1935303.894989672
10,967524.5796131263,1935303.869492166
11,967523.8166307432,1935303.8371934807
12,967523.1740887606,1935303.8099941008
13,967522.5717647558,1935303.7844956296
14,967521.7686254109,1935303.7504970096
15,967521.1662709042,1935303.7249980504
16,967520.4032885308,1935303.6926993649
17,967519.760777182,1935303.6654928492
18,967518.9977949328,1935303.633186536
19,967518.3552837056,1935303.605972392
20,967517.5923014616,1935303.573666083
21,967516.9899469634,1935303.5481671216
22,967516.146650666,1935303.5124685783
23,967515.5442961712,1935303.486969616
24,967514.9419416764,1935303.461470655
25,967514.138802351,1935303.427472039
26,967513.5364478596,1935303.40197308
27,967512.7734655048,1935303.369674396
28,967511.970326188,1935303.3356757849
29,967511.3679716992,1935303.3101768196
30,967510.7254297432,1935303.2829774437
31,967509.9624473964,1935303.250678762
32,967509.319935946,1935303.2234798733
33,967508.5569536,1935303.1911811896
34,967507.9144421568,1935303.1639823008
35,967507.11130285,1935303.129983686
36,967506.5089483716,1935303.104484727
37,967505.7058090712,1935303.0704861088
38,967505.1034544728,1935303.0449947785
39,967504.3003151728,1935303.0109961657
40,967503.6979607012,1935302.985497208
41,967502.894821406,1935302.9514985927
42,967502.2924669376,1935302.925999632
43,967501.5294846116,1935302.8937009536
44,967500.9271301426,1935302.868201996
45,967500.1240213596,1935302.8342038696
46,967499.521666894,1935302.808704908
47,967498.7185276127,1935302.774706298
48,967498.116173151,1935302.74920734
49,967497.3130338696,1935302.7152087255
50,967496.7106794112,1935302.6897097705
51,967495.9075401349,1935302.65571116
52,967495.3051554168,1935302.630196464
53,967494.502016266,1935302.5961902237
54,967493.8996618144,1935302.570691268
55,967493.2973073608,1935302.545192308
56,967492.494168092,1935302.5111937
57,967491.891813644,1935302.4856947383
58,967491.08867438,1935302.451696132
59,967490.4863199356,1935302.4261971707
60,967489.683180674,1935302.3921985608
61,967489.0808262306,1935302.3666996048
62,967488.2776869758,1935302.332700996
63,967487.6753325335,1935302.3072020367
64,967486.8721932812,1935302.2732034272
65,967486.2698388426,1935302.247704469
66,967485.4666995947,1935302.213705857
67,967484.8643451572,1935302.1882069
68,967484.061205914,1935302.1542082909
69,967483.4588821062,1935302.128702196
70,967482.6557428632,1935302.0947035856
71,967482.0533578064,1935302.069211768
72,967481.25021857,1935302.0352131624
73,967480.6478641428,1935302.009714204
74,967480.045509837,1935301.98420762
75,967479.2424012326,1935301.9502018727
76,967478.6296936644,1935301.9253084275
77,967477.8263025072,1935301.8918016248
78,967477.222511115,1935301.866485732
79,967476.4033381548,1935301.84492464
80,967475.800588414,1935301.8212577212
81,967475.0639387176,1935301.7927347848
82,967474.4287561652,1935301.759412972
83,967473.6314045952,1935301.7279322424
84,967473.0339694924,1935301.7039151844
85,967472.2631377856,1935301.599323447
86,967471.7439516822,1935301.419096644
87,967470.9928643012,1935301.1304137127
88,967470.5089539828,1935300.850319222
89,967470.0099647105,1935300.524636378
90,967469.3321800408,1935300.0933647137
91,967468.8195747174,1935299.7911574089
92,967468.1278189726,1935299.3788322436
93,967467.6101456787,1935299.071067347
94,967466.9119031846,1935298.711607348
95,967466.372421199,1935298.435951988
96,967465.6571322388,1935298.0701409904
97,967465.1405378674,1935297.7904183683
98,967464.3713719082,1935297.420347119
99,967463.8720533224,1935297.1613120744
100,967463.1474641056,1935296.789387882
101,967462.6116335032,1935296.5143627897
102,967461.8742558968,1935296.1235311711
103,967461.2505851636,1935295.8004086025
104,967460.5337720792,1935295.4632391743
105,967460.0432742734,1935295.299800797
106,967459.3342392148,1935295.2137224355
107,967458.7967083694,1935295.2829654017
108,967458.0041717066,1935295.3744552804
109,967457.4137323408,1935295.4073702693
110,967456.6121960888,1935295.4451380745
111,967455.9434358012,1935295.4453097149
112,967455.2175200172,1935295.44399885
113,967454.6150150131,1935295.4432807143
114,967453.8108910968,1935295.4423717412
115,967453.207775285,1935295.441689644
116,967452.4034988522,1935295.44077824
117,967451.8002915324,1935295.440094688
118,967450.996015104,1935295.439183286
119,967450.3928077848,1935295.4384997308
120,967449.588531361,1935295.4375883287
121,967448.9853240444,1935295.4369047724
122,967448.1810476253,1935295.435993368
123,967447.5778403116,1935295.435309813
124,967446.7735638964,1935295.4343984125
125,967446.1703565834,1935295.433714858
126,967445.3660801708,1935295.4328034504
127,967444.762872865,1935295.432119901
128,967443.9585964544,1935295.431208495
129,967443.3553891492,1935295.4305249385
130,967442.5511127432,1935295.429613534
131,967441.947905443,1935295.4289299808
132,967441.1436290392,1935295.428018576
133,967440.5415583,1935295.4287719291
134,967439.8435366206,1935295.4423908512
135,967439.2990686682,1935295.5487171947
136,967438.5545402856,1935295.72941021
137,967437.937870695,1935295.8344949456
138,967437.1556713684,1935296.0604624047
139,967436.4749410916,1935296.1819032088
140,967435.7290875772,1935296.3346873324
141,967435.1963175078,1935296.488157656
142,967434.4609027078,1935296.784376195
143,967433.9767294452,1935297.076297451
144,967433.400562171,1935297.352954408
145,967432.6989197636,1935297.7011537808
146,967432.1767966654,1935297.9926459852
147,967431.4793200904,1935298.3915460317
148,967430.9552938974,1935298.691413925
149,967430.2565996064,1935299.092056625
150,967429.7356116936,1935299.379325772
151,967429.0246784393,1935299.7438077424
152,967428.478552989,1935299.9656863525
153,967427.7344898612,1935300.276161062
154,967427.1810251522,1935300.474169331
155,967426.430321102,1935300.6843680264
156,967425.8467692644,1935300.844222614
157,967425.0715842184,1935301.0569986324
158,967424.4900800402,1935301.216641734
159,967423.7225416031,1935301.420584343
160,967423.1674656596,1935301.5396863264
161,967422.5996684072,1935301.5916122869
162,967421.7975407552,1935301.6607672884
163,967421.2029513553,1935301.6975445452
164,967420.4075955498,1935301.7112606908
165,967419.8027382016,1935301.716477753
166,967418.9997294804,1935301.7240993152
167,967418.4086860012,1935301.7489724327
168,967417.601909272,1935301.7920191851
169,967416.9958303886,1935301.8241205695
170,967416.1947290417,1935301.8729024057
171,967415.5924570044,1935301.909282686
172,967414.7754318154,1935301.957856644
173,967414.1550312618,1935301.9945202568
174,967413.3557486096,1935302.042141104
175,967412.7612553836,1935302.082459256
176,967411.9638501672,1935302.1348088288
177,967411.3887018278,1935302.1712702585
178,967410.5900193166,1935302.221440772
179,967409.992059917,1935302.2590797
180,967409.189252318,1935302.309626924
181,967408.5863623184,1935302.3464931736
182,967407.7733211996,1935302.3863050565
183,967407.1726620058,1935302.4229551156
184,967406.4013798996,1935302.4385955592
185,967405.7919187588,1935302.4416797447
186,967404.9903617306,1935302.446280873
187,967404.3875160856,1935302.4497145256
188,967403.5832835704,1935302.4537161973
189,967402.9768054872,1935302.453415323
190,967402.4231537416,1935302.454375435
191,967401.9175101375,1935302.4545136392
192,967401.298962218,1935302.443829568
193,967401.3066483889,1935302.4440053927
