,X,Y
0,967568.8241389198,1935246.3267142992
1,967569.610634007,1935246.409571661
2,967570.1480694368,1935246.580027832
3,967570.655231731,1935246.8772513
4,967571.115687276,1935247.2774862133
5,967571.5653819904,1935247.7633031649
6,967572.0870874712,1935248.2834182165
7,967572.4631119448,1935248.798893908
8,967572.7858319744,1935249.4408158087
9,967572.938938804,1935250.0481359372
10,967573.0071595872,1935250.7283849623
11,967572.9791750652,1935251.4738614317
12,967572.979571828,1935252.077254044
13,967572.9407848194,1935252.8649546015
14,967572.9051682088,1935253.5493926725
15,967572.8657759036,1935254.311880835
16,967572.8385371736,1935255.0067043188
17,967572.815053392,1935255.6745846595
18,967572.7754889124,1935256.442135041
19,967572.7402491408,1935257.1239856088
20,967572.7008517212,1935257.886794065
21,967572.6656000433,1935258.5693919808
22,967572.6303507934,1935259.251837377
23,967572.5909547028,1935260.0145619467
24,967572.5577790508,1935260.6568563168
25,967572.5183829592,1935261.4195808868
26,967572.4810603468,1935262.1421620531
27,967572.4458112078,1935262.824599821
28,967572.4084885896,1935263.5471809907
29,967572.3711659696,1935264.2697621568
30,967572.3359168282,1935264.9521999292
31,967572.2985942046,1935265.6747810936
32,967572.2612715816,1935266.3973622627
33,967572.2239489546,1935267.119943433
34,967572.1812562456,1935267.8386937408
35,967572.049732736,1935268.5044946563
36,967571.7968404096,1935269.1928328185
37,967571.5342362882,1935269.745734544
38,967571.1182446736,1935270.339153665
39,967570.7400976312,1935270.8495808635
40,967570.224916324,1935271.3392970085
41,967569.7086296236,1935271.7873087863
42,967569.1335822404,1935272.2809761232
43,967568.6277056192,1935272.6098754248
44,967567.9612301836,1935272.9205716916
45,967567.3434777384,1935273.2123868077
46,967566.6963402656,1935273.423884456
47,967566.004132342,1935273.5686213896
48,967565.2970543267,1935273.7255321385
49,967564.604233918,1935273.8416773763
50,967563.9018120456,1935273.88250383
51,967563.220470928,1935273.9254281337
52,967562.5483391172,1935273.9361184689
53,967561.8235606124,1935273.9515081083
54,967561.140415896,1935273.965913277
55,967560.3364955266,1935273.9828570231
56,967559.6933043234,1935273.99641114
57,967558.9697485385,1935274.0116600716
58,967558.3265878432,1935274.025214676
59,967557.522636974,1935274.042157932
60,967556.7990811964,1935274.057406864
61,967556.0755254164,1935274.0726557896
62,967555.3921671838,1935274.0870575584
63,967554.628413868,1935274.103153656
64,967553.9568572086,1935274.104554676
65,967553.140371093,1935274.11734698
66,967552.5373753848,1935274.1301835796
67,967551.773953004,1935274.1465748055
68,967551.0502707256,1935274.162103956
69,967550.3769192996,1935274.161249022
70,967549.6239961328,1935274.1276384469
71,967548.946904462,1935274.1221547967
72,967548.222483222,1935274.113201702
73,967547.4989762568,1935274.1043165692
74,967546.7752562492,1935274.0953975336
75,967546.0515362412,1935274.0864784927
76,967545.3278162376,1935274.077559456
77,967544.6443029016,1935274.06913592
78,967543.9205829,1935274.0602168809
79,967543.1566562344,1935274.0508023396
80,967542.4731429028,1935274.0423788
81,967541.749422905,1935274.0334597628
82,967540.9854962477,1935274.0240452224
83,967540.3019829204,1935274.0156216847
84,967539.6586762615,1935274.0076936537
85,967538.854542939,1935273.9977836115
86,967538.1308229516,1935273.988864571
87,967537.4875163,1935273.9809365368
88,967536.7235896474,1935273.971521997
89,967536.0400763334,1935273.963098463
90,967535.2761496848,1935273.9536839167
91,967534.5926363752,1935273.945260384
92,967533.868916398,1935273.9363413455
93,967533.1049898762,1935273.9269191795
94,967532.4215702672,1935273.91835983
95,967531.7380288844,1935273.9097832872
96,967531.014311588,1935273.9006964804
97,967530.2905942888,1935273.891609667
98,967529.5668769962,1935273.8825228557
99,967528.8431597012,1935273.8734360456
100,967528.1596489556,1935273.864852365
101,967527.4359316672,1935273.8557655527
102,967526.7122142548,1935273.84668637
103,967525.988496968,1935273.8375995548
104,967525.2647796854,1935273.8285127457
105,967524.5812690676,1935273.819921437
106,967523.817345122,1935273.810339124
107,967523.0936278407,1935273.801252314
108,967522.4101172272,1935273.7926610045
109,967521.686399708,1935273.7835894455
110,967520.9224760144,1935273.77399188
111,967520.2791413208,1935273.7659108432
112,967519.5152173868,1935273.7563285297
113,967518.8317067792,1935273.7477372184
114,967518.1884024749,1935273.739664293
115,967517.42447867,1935273.7300743517
116,967516.6605549834,1935273.720476788
117,967515.9770441402,1935273.711900728
118,967515.2533268796,1935273.702813921
119,967514.5425355444,1935273.675267404
120,967513.8933683148,1935273.531483746
121,967513.3625043804,1935273.299017824
122,967512.8821732572,1935272.8593425923
123,967512.375513754,1935272.3447534265
124,967511.8797938934,1935271.8597823964
125,967511.4385668004,1935271.3748936872
126,967510.950362201,1935270.7590780808
127,967510.696540703,1935270.3161990608
128,967510.5184557652,1935269.8690953103
