,X,Y
0,967533.2797437704,1935274.1808835668
1,967532.5896017216,1935274.1882663483
2,967532.0315684836,1935274.1922765612
3,967531.2228453584,1935274.1985104391
4,967530.619457209,1935274.2034229685
5,967529.8174045568,1935274.231456979
6,967529.221571916,1935274.2179310552
7,967528.4180822778,1935274.196345243
8,967527.8153958082,1935274.18019292
9,967527.008371412,1935274.1353313208
10,967526.4101887512,1935274.1218442395
11,967525.6045923944,1935274.100346921
12,967525.002392177,1935274.0843167645
13,967524.1983501944,1935274.0629281043
14,967523.5953873772,1935274.0468858012
15,967522.7914367887,1935274.0255062284
16,967522.1884739737,1935274.0094639268
17,967521.3845235128,1935273.988076727
18,967520.7815605744,1935273.9720420493
19,967519.9776102392,1935273.9506472216
20,967519.3746473048,1935273.9346125429
21,967518.5707273555,1935273.9132258317
22,967517.9677644258,1935273.897191152
23,967517.3648014974,1935273.8811564764
24,967516.5608511716,1935273.8597616523
25,967515.9578882452,1935273.8437269728
26,967515.1539378002,1935273.822339777
27,967514.5509748762,1935273.8063050956
28,967513.7470244354,1935273.7849179015
29,967513.1440617604,1935273.7688679704
30,967512.3401098612,1935273.7475722851
31,967511.7581596294,1935273.732162168
32,967510.9591562968,1935273.4557445808
33,967510.4536966942,1935273.2278634305
34,967509.8801696514,1935272.4805940671
35,967509.7512472692,1935271.5426062
36,967509.8923653358,1935271.1460265876
