,X,Y
0,967531.2944006064,1935304.153379882
1,967526.6274660788,1935303.956178581
2,967522.5717647558,1935303.7844956296
3,967518.3552837056,1935303.605972392
4,967514.138802351,1935303.427472039
5,967509.9624473964,1935303.250678762
6,967505.7058090712,1935303.0704861088
7,967501.5294846116,1935302.8937009536
8,967497.3130338696,1935302.7152087255
9,967493.2973073608,1935302.545192308
10,967489.0808262306,1935302.3666996048
11,967484.8643451572,1935302.1882069
12,967480.6478641428,1935302.009714204
13,967476.4033381548,1935301.84492464
14,967472.2631377856,1935301.599323447
15,967468.1278189726,1935299.3788322436
16,967464.3713719082,1935297.420347119
17,967460.5337720792,1935295.4632391743
18,967455.9434358012,1935295.4453097149
19,967451.8002915324,1935295.440094688
20,967447.5778403116,1935295.435309813
21,967443.3553891492,1935295.4305249385
22,967439.2990686682,1935295.5487171947
23,967435.1963175078,1935296.488157656
24,967431.4793200904,1935298.3915460317
25,967427.7344898612,1935300.276161062
26,967423.7225416031,1935301.420584343
27,967418.9997294804,1935301.7240993152
28,967414.7754318154,1935301.957856644
29,967410.5900193166,1935302.221440772
30,967406.4013798996,1935302.4385955592
31,967401.9175101375,1935302.4545136392
32,967401.3066483889,1935302.4440053927
