,X,Y
0,967058.7255,1935385.695
1,967062.855,1935385.881
2,967067.0616,1935386.025
3,967071.1078,1935384.581
4,967074.8716,1935382.628
5,967078.2414,1935380.121
6,967081.6116,1935377.58
7,967085.1425,1935374.917
8,967088.6091,1935372.303
9,967092.0758,1935369.689
10,967095.4782,1935367.124
11,967098.9449,1935364.51
12,967102.339,1935361.841
13,967105.3849,1935358.83
14,967108.4395,1935355.76
15,967111.6338,1935352.823
16,967114.7994,1935349.91
17,967117.9355,1935347.026
18,967121.3087,1935344.264
19,967125.1978,1935342.561
20,967129.22,1935341.051
21,967133.2093,1935339.714
22,967137.3242,1935338.46
23,,
