,X,Y
0,967058.7255,1935385.695
1,967061.4305,1935385.746
2,967063.5749,1935385.946
3,967065.6407,1935386.098
4,967067.7512,1935385.86
5,967069.7985,1935385.095
6,967071.7776,1935384.314
7,967073.6108,1935383.409
8,967075.3746,1935382.258
9,967077.1179,1935380.968
10,967078.787,1935379.709
11,967080.5203,1935378.403
12,967082.2536,1935377.096
13,967083.9869,1935375.789
14,967085.6882,1935374.506
15,967087.4215,1935373.199
16,967089.1548,1935371.892
17,967090.8881,1935370.585
18,967092.6215,1935369.278
19,967094.3227,1935367.995
20,967096.056,1935366.688
21,967097.7573,1935365.405
22,967099.5548,1935364.05
23,967101.2881,1935362.743
24,967102.8794,1935361.36
25,967104.3683,1935359.86
26,967105.8931,1935358.315
27,967107.4179,1935356.77
28,967108.9416,1935355.299
29,967110.5687,1935353.802
30,967112.1367,1935352.36
31,967113.7048,1935350.917
32,967115.3024,1935349.448
33,967116.9296,1935347.951
34,967118.4681,1935346.536
35,967120.1101,1935345.099
36,967121.9338,1935343.913
37,967123.81,1935343.083
38,967125.7996,1935342.334
39,967127.8678,1935341.553
40,967129.8638,1935340.82
41,967131.8654,1935340.122
42,967133.9401,1935339.491
43,967135.9782,1935338.87
44,967137.9849,1935338.259
45,,
