,X,Y
0,967472.8990349872,1935268.3857407288
1,967471.2803838458,1935270.3951637088
2,967469.9770851954,1935272.1528300936
3,967468.9919563706,1935273.9454278671
4,967468.3751939788,1935275.9852872733
5,967467.9645341414,1935277.99861956
6,967467.7729697956,1935280.1006764243
7,967467.7019075804,1935282.2116170328
8,967467.793955312,1935284.4072248663
9,967467.8796830162,1935286.5762706683
10,967467.9622325636,1935288.6651723743
11,967468.3588279388,1935290.6954516708
12,967469.1623556528,1935292.678062012
13,967469.8112143002,1935294.9138213005
14,967471.6299983084,1935296.5876068517
15,967473.674853944,1935296.4793360948
16,967475.7362288192,1935296.4354184987
17,967477.9836210284,1935296.5110876332
18,967480.6376657936,1935297.246247737
19,967482.5856456878,1935298.216475359
20,967484.1443053588,1935299.4887089927
21,967485.8585510922,1935300.5938897163
22,967487.9192646544,1935301.2466070636
23,967489.9887226652,1935301.880950669
24,967492.0309311416,1935302.1878957695
25,967494.2239977894,1935302.1495542212
26,967496.3141115909,1935302.1154234111
27,967498.484614283,1935302.0799872172
28,967500.574728236,1935302.0458487745
29,967502.7854257002,1935302.0097408115
30,967504.9960926768,1935301.9736323636
31,967507.1665956726,1935301.9381809065
32,967509.2567096855,1935301.9040424684
33,967511.3870182092,1935301.8692475208
34,967513.557551514,1935301.8338117984
35,967515.6476653272,1935301.7996886089
36,967517.7779738962,1935301.7648936587
37,967519.9484769842,1935301.7294422004
38,967522.0385912034,1935301.6952961285
39,967524.2090943228,1935301.659844665
40,967526.341264546,1935301.8951164675
41,967528.321833769,1935302.453351376
42,967530.052662862,1935303.49053388
43,967531.117256952,1935305.252400559
