,X,Y
0,967531.0255,1935304.687
1,967531.467,1935302.595
2,967531.9077,1935300.51
3,967532.3484,1935298.426
4,967532.7515,1935296.301
5,967533.2151,1935294.132
6,967533.6158,1935291.878
7,967533.9099,1935289.752
8,967534.1296,1935287.591
9,967534.3486,1935285.432
10,967534.5634,1935283.312
11,967534.7783,1935281.193
12,967534.9512,1935279.077
13,967535.0999,1935276.952
14,967535.622,1935274.662
15,967537.4142,1935273.041
16,967539.4147,1935272.327
17,967541.4731,1935271.994
18,967543.5348,1935271.652
19,967545.7551,1935271.285
20,967547.7658,1935271.084
21,967549.8742,1935271.098
22,967552.0439,1935271.156
23,967554.1743,1935271.213
24,967556.2244,1935271.269
25,967558.395,1935271.327
26,967560.6461,1935271.388
27,967562.656,1935271.442
28,967564.8657,1935271.5
29,967566.9114,1935271.194
30,967568.662,1935270.096
31,967570.1755,1935268.7
32,967571.2235,1935266.945
33,967571.7518,1935265.004
34,967572.0709,1935262.917
35,967572.1956,1935260.848
36,967572.2977,1935258.68
37,967572.3998,1935256.511
38,967572.4981,1935254.423
39,967572.5983,1935252.295
40,967572.7004,1935250.127
41,967572.4952,1935248.09
42,967571.5597,1935246.29
43,967569.3889,1935245.392
44,,
