,X,Y
0,967472.8990349872,1935268.3857407288
1,967470.3990807312,1935271.5253564764
2,967468.7329053796,1935274.687109109
3,967467.8952568064,1935278.6987687573
4,967467.7019075804,1935282.2116170328
5,967467.8511078045,1935285.853212188
6,967468.0019920768,1935289.4216439885
7,967469.3722309088,1935293.17898383
8,967470.9842446952,1935296.3770185532
9,967475.1018114744,1935296.4249317152
10,967479.3166543372,1935296.750320191
11,967482.5856456878,1935298.216475359
12,967485.8585510922,1935300.5938897163
13,967489.3010318194,1935301.676986667
14,967493.5008023469,1935302.161345727
15,967497.0376125684,1935302.103606263
16,967500.574728236,1935302.0458487745
17,967504.1922331856,1935301.9867630205
18,967507.8499021756,1935301.927020265
19,967511.3870182092,1935301.8692475208
20,967514.9643586848,1935301.810856884
21,967519.1847814524,1935301.7419158616
22,967522.8022867444,1935301.682822468
23,967526.341264546,1935301.8951164675
24,967530.052662862,1935303.49053388
25,967531.117256952,1935305.252400559
