,X,Y
0,967533.400648938,1935274.0016455555
1,967532.286048196,1935273.973197217
2,967530.8864098898,1935273.9962359488
3,967529.4929702498,1935273.9576785392
4,967528.0953994088,1935273.9313744707
5,967526.6874390446,1935273.9309467396
6,967525.2803129896,1935273.9298610357
7,967523.8728490853,1935273.92891488
8,967522.465322722,1935273.9280592636
9,967521.0578574956,1935273.927197
10,967519.6503617694,1935273.9263342435
11,967518.202621232,1935273.925455944
12,967516.8353397154,1935273.9246158765
13,967515.4278438884,1935273.923760748
14,967514.0203480666,1935273.922905619
15,967512.813923101,1935273.922171562
16,967511.4063967896,1935273.9213159503
17,967510.004301873,1935273.947259928
18,967508.5910735002,1935273.9461761853
19,967507.183790268,1935273.945385468
20,967505.776385027,1935273.9445928035
21,967504.368888278,1935273.94379868
22,967502.9529885516,1935273.9705906813
23,967501.5553972572,1935273.9704806705
24,967500.1484651646,1935273.9706337785
25,967498.7410461056,1935273.9707104787
26,967497.3335356668,1935273.970778098
27,967495.926055734,1935273.9708461987
28,967494.5185451852,1935273.9709214428
29,967493.1110347632,1935273.9709890608
30,967491.7035243468,1935273.9710566795
31,967490.2960136958,1935273.9711395465
32,967488.8885032928,1935273.9712071624
33,967487.480993382,1935273.971244277
34,967486.0734844502,1935273.97122038
35,967484.6659754053,1935273.9712041093
36,967483.4671536284,1935273.958622904
37,967482.0711421828,1935273.863165788
38,967480.6671659362,1935273.771616989
39,967479.2632199564,1935273.680083933
40,967477.8553587308,1935273.583415928
41,967476.5974346568,1935273.233760059
42,967475.3534360996,1935272.709028083
43,967474.5520709888,1935271.780192481
44,967473.8681868716,1935270.5882637107
45,967473.545743452,1935269.4405217771
46,967473.1870754288,1935268.638023579
