,timeline,x,y
0,20:03:46,967167.7760782974,1935338.5699208237
1,20:03:46,967167.7760782974,1935338.5699208237
2,20:03:46,967167.7462596077,1935338.58040339
3,20:03:47,967167.6720632779,1935338.6221439613
4,20:03:47,967167.585001333,1935338.648389392
5,20:03:47,967167.5759607241,1935338.6999628367
6,20:03:48,967167.557737595,1935338.7968144133
7,20:03:48,967167.5236623086,1935338.8742330205
8,20:03:48,967167.4485356117,1935338.968515298
9,20:03:49,967167.3519181703,1935339.034601825
10,20:03:49,967167.2327329296,1935339.070911715
11,20:03:50,967167.0950410089,1935339.09760547
12,20:03:50,967166.880407825,1935339.2043989515
13,20:03:50,967166.5725932021,1935339.2611753826
14,20:03:51,967166.1097255946,1935339.3439189869
15,20:03:51,967165.5281165189,1935339.433436517
16,20:03:51,967164.8203917707,1935339.4086847568
17,20:03:52,967164.0969021422,1935339.355309746
18,20:03:52,967163.4461636236,1935339.2634092038
19,20:03:52,967162.7167649706,1935339.1071497323
20,20:03:53,967161.9935992429,1935338.9000730347
21,20:03:53,967161.2964688927,1935338.7057301747
22,20:03:53,967160.676698782,1935338.5328450557
23,20:03:54,967159.9797865674,1935338.338456092
24,20:03:54,967159.2827811774,1935338.1440503825
25,20:03:55,967158.6530206999,1935337.9329541458
26,20:03:55,967157.9385805299,1935337.667864817
27,20:03:55,967157.3358529084,1935337.4459098256
28,20:03:56,967156.6565975787,1935337.1957253
29,20:03:56,967155.9425214628,1935336.9430982056
30,20:03:56,967155.2767131834,1935336.8135349455
31,20:03:57,967154.6325691376,1935336.7877135193
32,20:03:57,967153.9786714289,1935336.848054527
33,20:03:57,967153.1745834412,1935336.912521263
34,20:03:58,967152.4932276724,1935336.9668374306
35,20:03:58,967151.8120895524,1935337.021137991
36,20:03:58,967151.1308291721,1935337.0754518616
37,20:03:59,967150.329386708,1935337.1393466885
38,20:03:59,967149.608078387,1935337.1968518673
39,20:04:00,967148.9669137432,1935337.24796756
40,20:04:00,967148.2077258418,1935337.304526108
41,20:04:00,967147.4954472062,1935337.3232955027
42,20:04:01,967146.7710328336,1935337.346055514
43,20:04:01,967146.0879807693,1935337.3673919472
44,20:04:01,967145.3309761798,1935337.379846186
45,20:04:02,967144.6893967077,1935337.3793369853
46,20:04:02,967143.8854427908,1935337.3792696493
47,20:04:02,967143.2019133925,1935337.379213542
48,20:04:03,967142.5587482264,1935337.37915583
49,20:04:03,967141.794949184,1935337.3790911825
50,20:04:03,967141.1517553636,1935337.3790368268
51,20:04:04,967140.3938007957,1935337.3789699231
52,20:04:04,967140.1557131507,1935337.3786138645
53,20:04:04,967140.1517191258,1935337.3786341555
54,20:04:05,967140.1089326759,1935337.3786276926
55,20:04:05,967140.1115744471,1935337.378620193
56,20:04:06,967140.1117031951,1935337.378618423
57,20:04:06,967140.1115963719,1935337.378620538
58,20:04:06,967140.1116330728,1935337.3786211233
59,20:04:07,967140.1116254448,1935337.3786210052
