,x,y,goal x,goal y,waypoint,current distance,obstacle distance,obstacle angle,heading,yaw,goal angle
33,967569.2959809778,1935246.5082236058,967572.4631,1935248.799,1,3.91,3.5,0,-2.85,-2.807332519023366,0.6261928296990499
34,967569.3072178162,1935246.513437037,967572.4631,1935248.799,1,3.9,3.5,0,-2.854,-2.8028266579811807,0.6267988087405767
35,967569.3243430463,1935246.520590229,967572.4631,1935248.799,1,3.88,3.5,0,-2.858,-2.797599808178846,0.6278949615711092
36,967569.3422280737,1935246.5260163492,967572.4631,1935248.799,1,3.86,3.5,0,-2.854,-2.799791316821046,0.6294788684372719
37,967569.3597583628,1935246.532642032,967572.4631,1935248.799,1,3.84,3.5,0,-2.853,-2.799744142433728,0.6307708246304342
38,967569.3774477293,1935246.5388583452,967572.4631,1935248.799,1,3.82,3.5,0,-2.852,-2.7986213971449367,0.6321859086568041
39,967569.3893758202,1935246.5428165467,967572.4631,1935248.799,1,3.81,3.5,0,-2.85,-2.7995788896073943,0.633197003086842
40,967569.4130990573,1935246.5514173594,967572.4631,1935248.799,1,3.79,3.5,0,-2.849,-2.799152128724575,0.6350721072149883
41,967569.4250244772,1935246.5555433328,967572.4631,1935248.799,1,3.78,3.5,0,-2.848,-2.7992365284060194,0.6360658627905211
42,967569.4489648868,1935246.5639187652,967572.4631,1935248.799,1,3.75,3.5,0,-2.846,-2.7994449166989455,0.6380602940108656
43,967569.460918379,1935246.5681977419,967572.4631,1935248.799,1,3.74,3.5,0,-2.845,-2.799374118119257,0.6390449468395228
44,967569.4668956134,1935246.570306731,967572.4631,1935248.799,1,3.73,3.5,0,-2.844,-2.7991757345467327,0.6395463069990555
45,967569.4849805606,1935246.576590366,967572.4631,1935248.799,1,3.72,3.5,0,-2.843,-2.7993846130218234,0.6410941980606677
46,967569.4970258132,1935246.5808555551,967572.4631,1935248.799,1,3.7,3.5,0,-2.842,-2.7994000955203497,0.6421163073465584
